Product,Create at,Stock,Price,Publish
Urban Explorer Sneakers,2024-08-19T18:54:19+00:00,Out of stock,83.74,Draft
Classic Leather Loafers,2024-08-18T17:54:19+00:00,In stock,97.14,Published
Mountain Trekking Boots,2024-08-17T16:54:19+00:00,Low stock,68.71,Published
Elegance Stiletto Heels,2024-08-16T15:54:19+00:00,In stock,85.21,Draft
Comfy Running Shoes,2024-08-15T14:54:19+00:00,Low stock,52.17,Published
Chic Ballet Flats,2024-08-14T13:54:19+00:00,In stock,25.18,Published
Vintage Oxford Shoes,2024-08-13T12:54:19+00:00,Out of stock,43.84,Draft
Waterproof Hiking Boots,2024-08-12T11:54:19+00:00,In stock,60.98,Published
Casual Slip-On Sneakers,2024-08-11T10:54:19+00:00,Low stock,98.42,Published
Premium Dress Shoes,2024-08-10T09:54:19+00:00,In stock,53.37,Draft
Sporty Trail Runners,2024-08-09T08:54:19+00:00,Low stock,72.75,Published
Sophisticated Brogues,2024-08-08T07:54:19+00:00,In stock,56.61,Published
Beach Sandals,2024-08-07T06:54:19+00:00,Out of stock,64.55,Draft
Stylish Wedge Heels,2024-08-06T05:54:19+00:00,In stock,77.32,Published
Lightweight Training Shoes,2024-08-05T04:54:19+00:00,Low stock,60.62,Published
Luxurious Moccasins,2024-08-04T03:54:19+00:00,In stock,79.81,Draft
Durable Work Boots,2024-08-03T02:54:19+00:00,Low stock,93.68,Published
Trendy Platform Sneakers,2024-08-02T01:54:19+00:00,In stock,47.44,Published
Cozy Winter Boots,2024-08-01T00:54:19+00:00,Out of stock,76.24,Draft
Fashion Ankle Boots,2024-07-30T23:54:19+00:00,In stock,92.87,Published
